id,name,release date,artists,popularity,preview url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2rRJrJEo19S2J82BDsQ3F7,Falling,2020-03-26,Trevor Daniel,0,https://p.scdn.co/mp3-preview/0d911f7650ed127fbbdd7ec6a44ec5d642d1896a?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.784,0.43,10.0,-8.756,0.0,0.0364,0.123,0.0,0.0887,0.236,127.087,audio_features,spotify:track:2rRJrJEo19S2J82BDsQ3F7,https://api.spotify.com/v1/tracks/2rRJrJEo19S2J82BDsQ3F7,https://api.spotify.com/v1/audio-analysis/2rRJrJEo19S2J82BDsQ3F7,159382.0,4.0
0BGwAKW4u8kWOhWFflZxfl,Astronaut In The Ocean,2019-01-01,Masked Wolf,53,https://p.scdn.co/mp3-preview/e89e477c2467c477031561ff801c055c5777de4f?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.778,0.695,4.0,-6.865,0.0,0.0913,0.175,0.0,0.15,0.472,149.996,audio_features,spotify:track:0BGwAKW4u8kWOhWFflZxfl,https://api.spotify.com/v1/tracks/0BGwAKW4u8kWOhWFflZxfl,https://api.spotify.com/v1/audio-analysis/0BGwAKW4u8kWOhWFflZxfl,132780.0,4.0
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,2018-11-16,Alec Benjamin,82,https://p.scdn.co/mp3-preview/19007111a4e21096bcefef77842d7179f0cdf12a?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.652,0.557,1.0,-5.714,0.0,0.0318,0.74,0.0,0.124,0.483,150.073,audio_features,spotify:track:2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,169354.0,4.0
2BgEsaKNfHUdlh97KmvFyo,2002,2018-04-27,Anne-Marie,77,https://p.scdn.co/mp3-preview/d469ce8346ff12dcd2af05877d99662a0b334eca?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.697,0.683,1.0,-2.881,0.0,0.117,0.0372,0.0,0.137,0.603,96.133,audio_features,spotify:track:2BgEsaKNfHUdlh97KmvFyo,https://api.spotify.com/v1/tracks/2BgEsaKNfHUdlh97KmvFyo,https://api.spotify.com/v1/audio-analysis/2BgEsaKNfHUdlh97KmvFyo,186987.0,4.0
7qiZfU4dY1lWllzX7mPBI3,Shape of You,2017-03-03,Ed Sheeran,85,https://p.scdn.co/mp3-preview/7339548839a263fd721d01eb3364a848cad16fa7?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713.0,4.0
698ItKASDavgwZ3WjaWjtz,Faded,2018-12-14,Alan Walker,80,https://p.scdn.co/mp3-preview/dd79198f4b4c43aef9c8e8e1c4708a402862dd0e?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.468,0.627,6.0,-5.085,1.0,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,audio_features,spotify:track:698ItKASDavgwZ3WjaWjtz,https://api.spotify.com/v1/tracks/698ItKASDavgwZ3WjaWjtz,https://api.spotify.com/v1/audio-analysis/698ItKASDavgwZ3WjaWjtz,212107.0,4.0
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),2021-03-26,24kGoldn,80,https://p.scdn.co/mp3-preview/c425299d5996843fc24308b896f7ce60fd262c99?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007,audio_features,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,https://api.spotify.com/v1/tracks/4jPy3l0RUwlUI9T5XHBW2m,https://api.spotify.com/v1/audio-analysis/4jPy3l0RUwlUI9T5XHBW2m,140533.0,4.0
378iszndTZAR4dH8kwsLC6,Cheap Thrills (feat. Sean Paul),2016-02-18,Sia,73,https://p.scdn.co/mp3-preview/53e655b23ff45074ee11cae3c9f2ddb7d285d3e3?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.592,0.8,6.0,-4.931,0.0,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,audio_features,spotify:track:378iszndTZAR4dH8kwsLC6,https://api.spotify.com/v1/tracks/378iszndTZAR4dH8kwsLC6,https://api.spotify.com/v1/audio-analysis/378iszndTZAR4dH8kwsLC6,224813.0,4.0
4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),2018-08-02,Bazzi,70,https://p.scdn.co/mp3-preview/68869934e36a263274c48611101cf5f1d332a89f?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.638,0.717,2.0,-4.722,1.0,0.0337,0.346,0.0,0.105,0.249,100.027,audio_features,spotify:track:4VUwkH455At9kENOfzTqmF,https://api.spotify.com/v1/tracks/4VUwkH455At9kENOfzTqmF,https://api.spotify.com/v1/audio-analysis/4VUwkH455At9kENOfzTqmF,180000.0,4.0
04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,2018-06-22,Bebe Rexha,68,https://p.scdn.co/mp3-preview/659f79495a93c491911ee2f45144d1af30d8010c?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.63,0.694,11.0,-6.257,0.0,0.0253,0.00281,0.0,0.0719,0.216,97.005,audio_features,spotify:track:04ZTP5KsCypmtCmQg5tH9R,https://api.spotify.com/v1/tracks/04ZTP5KsCypmtCmQg5tH9R,https://api.spotify.com/v1/audio-analysis/04ZTP5KsCypmtCmQg5tH9R,195519.0,4.0
